Ward,Address,Height,Diameter,Age Class,Species
"Hendon(A)
",Hendon Grove Allotments,18.5,107,Mature,"Platanusxhispanica
"
"Hendon(A)
",Byng Road Allotments,8,45,,"Quercusrobur
"
"Hendon(A)
",Byng Road Allotments,30,100,Over-Mature,"Quercusrobur
"
"Hendon(A)
",Clifford Road Allotments,5,68,Mature,"Quercusrobur
"
"Hendon(A)
",Clifford Road Allotments,6,75,Mature,"Quercusrobur
"
"Hendon(A)
",Lawrence Street allotments,10,35,,"Fraxinusexcelsior
"
"Hendon(A)
",Lawrence Street allotments,7,75,Semi-Mature,"Quercussp.
"
"Hendon(A)
",Lawrence Street allotments,12,59,Semi-Mature,"Quercussp.
"
"Hendon(A)
",Lawrence Street allotments,9,31,Early Mature,"Quercussp.
"
"Hendon(A)
",Lawrence Street allotments,12,108,Mature,"Quercussp.
"
"Hendon(A)
",Lawrence Street allotments,11,37,Semi-Mature,"Quercussp.
"
"Hendon(A)
",Lawrence Street allotments,9,46,Semi-Mature,"Quercussp.
"
"Hendon(A)
",Lawrence Street allotments,4,67,Early Mature,"Quercussp.
"
"Hendon(A)
",Lawrence Street allotments,7,24,Semi-Mature,"Crataegusmonogyna
"
"Hendon(A)
",Lawrence Street allotments,10,61,Mature,"Quercussp.
"
"Hendon(A)
",Lawrence Street allotments,8,38,Early Mature,"Fraxinusexcelsior
"
"Hendon(A)
",Lawrence Street allotments,8,54,Semi-Mature,"Acerpsuedoplatanus
"
"Hendon(A)
",Lawrence Street allotments,5,13,Early,"Acerpsuedoplatanus
"
"Hendon(A)
",Lawrence Street allotments,5,24,Early Mature,"Prunusavium
"
"Hendon(A)
",Lawrence Street allotments,8,70,Mature,"Fraxinusexcelsior
"
"Hendon(A)
",Lawrence Street allotments,9,96,Mature,"Quercussp.
"
"Hendon(A)
",Lawrence Street allotments,5,28,Semi-Mature,"Prunusavium
"
"Hendon(A)
",Frith Manor allotments,7,33,Early Mature,"Quercusrobur
"
"Hendon(A)
",Frith Manor allotments,6,25,Early Mature,"Quercusrobur
"
"Hendon(A)
",Frith Manor allotments,14,76,Mature,"Quercusrobur
"
"Hendon(A)
",Frith Manor allotments,13,65,Mature,"Quercusrobur
"
"Hendon(A)
",Frith Manor allotments,15,110,Mature,"Quercusrobur
"
"Hendon(A)
",Frith Manor allotments,15,90,Mature,"Quercusrobur
"
"Hendon(A)
",Frith Manor allotments,10.5,88,Mature,"Quercusrobur
"
"Hendon(A)
",Frith Manor allotments,9.5,80,Mature,"Quercusrobur
"
"Hendon(A)
",Frith Manor allotments,9,82,Mature,"Quercusrobur
"
"Hendon(A)
",Frith Manor allotments,10,75,Mature,"Quercusrobur
"
"Hendon(A)
",Frith Manor allotments,10,60,Mature,"Quercusrobur
"
"Hendon(A)
",Hartley Close/Daws Lane Allotments,7.5,60,Mature,"Fraxinusexcelsior
"
"Hendon(A)
",Hartley Close/Daws Lane Allotments,7.5,56,Mature,"Fraxinusexcelsior
"
"Hendon(A)
",Hartley Close/Daws Lane Allotments,10,110,Mature,"Quercussp.
"
"Hendon(A)
",Hartley Close/Daws Lane Allotments,3,16,Early Mature,"Ulmusprocera
"
"Hendon(A)
",Hartley Close/Daws Lane Allotments,11,110,Mature,"Quercussp.
"
"Hendon(A)
",Hartley Close/Daws Lane Allotments,5,60,Semi-Mature,"Fraxinusexcelsior
"
"Hendon(A)
",Hartley Close/Daws Lane Allotments,4,30,Early Mature,"Acersp.
"
"Hendon(A)
",Archfields Allotments,8,83,Mature,"Quercussp.
"
"Hendon(A)
",Archfields Allotments,10,50,Semi-Mature,"Quercussp.
"
"Hendon(A)
",Archfields Allotments,10,60,Semi-Mature,"Quercussp.
"
"Hendon(A)
",Archfields Allotments,10,50,Semi-Mature,"Quercussp.
"
"Hendon(A)
",Archfields Allotments,10,75,Semi-Mature,"Quercussp.
"
"Hendon(A)
",Archfields Allotments,10,65,Semi-Mature,"Quercussp.
"
"Hendon(A)
",Archfields Allotments,10,70,Semi-Mature,"Quercussp.
"
"Hendon(A)
",Archfields Allotments,6,40,Semi-Mature,"Crataegusmonogyna
"
"Hendon(A)
",Brook Farm Allotments,3,16,,"Aesculushippocastanum
"
"Hendon(A)
",Brook Farm Allotments,10,113,Over-Mature,"Quercusrobur
"
"Hendon(A)
",Brook Farm Allotments,10,101,,"Quercusrobur
"
"Hendon(A)
",Brook Farm Allotments,35,124,Over-Mature,"Fraxinusexcelsior
"
"Hendon(A)
",Brook Farm Allotments,15,35,,"Prunussp.
"
"Hendon(A)
",Brook Farm Allotments,5,30,,"Fraxinusexcelsior
"
"Hendon(A)
",Brook Farm Allotments,6,33,,"Fraxinusexcelsior
"
"Hendon(A)
",Fursby Avenue Allotments,6,40,Semi-Mature,"VariousBroadleaf
"
"Hendon(A)
",Fursby Avenue Allotments,8,40,Semi-Mature,"Acersp.
"
"Hendon(A)
",Whetstone Stray Allotments,10,50,Semi-Mature,"Quercusrobur
"
"Hendon(A)
",Whetstone Stray Allotments,3,18,Semi-Mature,"Betulapendula
"
"Hendon(A)
",Whetstone Stray Allotments,8,50,Semi-Mature,"Quercussp.
"
"Hendon(A)
",Whetstone Stray Allotments,8,50,Semi-Mature,"Quercusrobur
"
"Hendon(A)
",Whetstone Stray Allotments,7,43,Mature,"Acerpsuedoplatanus
"
"Hendon(A)
",Whetstone Stray Allotments,4,40,Semi-Mature,"Ulmusprocera
"
"Hendon(A)
",Whetstone Stray Allotments,3,25,Early Mature,"SambucusNigra
"
"Hendon(A)
",Whetstone Stray Allotments,5,20,Semi-Mature,"Crataegusmonogyna
"
"Hendon(A)
",Whetstone Stray Allotments,4,45,Semi-Mature,"Acerpsuedoplatanus
"
"Hendon(A)
",Brook Farm Allotments,12,85,Mature,"Quercusrobur
"
"Hendon(A)
",Dollis Valley Allotments,10,100,,"Populusnigra
"
"Hendon(A)
",Dollis Valley Allotments,7,45,Mature,"Populusnigra
"
"Hendon(A)
",Dollis Valley Allotments,9,50,Mature,"Populusnigra
"
"Hendon(A)
",Dollis Valley Allotments,9,100,Mature,"Populusnigra
"
"Hendon(A)
",Dollis Valley Allotments,9,100,Mature,"Populusnigra
"
"Hendon(A)
",Dollis Valley Allotments,9,100,Mature,"Populusnigra
"
"Hendon(A)
",Gordon Road Allotments,8,30,Early Mature,"Ulmusprocera
"
"Hendon(A)
",Pointalls Allotments,4,28,Semi-Mature,"Crataegusmonogyna
"
"Hendon(A)
",Pointalls Allotments,5,56,Semi-Mature,"Salixsp.
"
"Hendon(A)
",Cool Oak Lane,6,86,Over-Mature,"Quercussp.
"
"Hendon(A)
",Cool Oak Lane,8,74,Mature,"Quercussp.
"
"Hendon(A)
",Cool Oak Lane,9,40,Mature,"Fraxinusexcelsior
"
"Hendon(A)
",Glebelands Allotments,5,27,Semi-Mature,"Betulasp.
"
"Hendon(A)
",Glebelands Allotments,7,30,Early Mature,"VariousBroadleaf
"
"Hendon(A)
",Glebelands Allotments,9,68,Mature,"Fraxinusexcelsior
"
"Hendon(A)
",Glebelands Allotments,5,20,Semi-Mature,"Crataegusmonogyna
"
"Hendon(A)
",St Mary's C Of E East Barnet,5,30,Early Mature,"Ilexaquifolium
"
"Hendon(A)
",St Mary's C Of E East Barnet,16,100,Mature,"Quercusrobur
"
"Hendon(A)
",St Mary's C Of E East Barnet,5,34,Semi-Mature,"Acercampestre
"
"Hendon(A)
",St Mary's C Of E East Barnet,8,48,Mature,"Acercampestre
"
"Hendon(A)
",Holly Trinity Churchyard,7.5,45,Mature,"Taxusbaccata
"
"Hendon(A)
",Holly Trinity Churchyard,12.5,55,Mature,"Cedrusatlantica
"
"Hendon(A)
",Holly Trinity Churchyard,7.5,35,Mature,"Chamaecyparislawsoniana
"
"Hendon(A)
",Holly Trinity Churchyard,7.5,55,Mature,"Taxusbaccata
"
"Hendon(A)
",Holly Trinity Churchyard,7.5,35,Semi-Mature,"Acerpsuedoplatanus
"
"Hendon(A)
",Holly Trinity Churchyard,7.5,35,Semi-Mature,"Acerpsuedoplatanus
"
"Hendon(A)
",Holly Trinity Churchyard,7.5,35,Semi-Mature,"Acerpsuedoplatanus
"
"Hendon(A)
",Holly Trinity Churchyard,17.5,130,Mature,"Fraxinusexcelsior
"
"Hendon(A)
",Holly Trinity Churchyard,17.5,87,Mature,"Fraxinusexcelsior
"
"Hendon(A)
",Holly Trinity Churchyard,17.5,100,Mature,"Fraxinusexcelsior
"
"Hendon(A)
",Holly Trinity Churchyard,7,42,Mature,"PrunuscerasiferaNigra
"
"Hendon(A)
",Holly Trinity Churchyard,9,60,Semi-Mature,"Acerpsuedoplatanus
"
"Hendon(A)
",St Mary's Church Finchley,17.5,55,Mature,"Taxusbaccata
"
"Hendon(A)
",St Mary's Church Finchley,17.5,55,Mature,"Taxusbaccata
"
"Hendon(A)
",St Mary's Church Finchley,7.5,55,Mature,"Taxusbaccata
"
"Hendon(A)
",St Mary's Church Finchley,7.5,26,Semi-Mature,"Cupressusmacrocarpa
"
"Hendon(A)
",St Mary's Church Finchley,8,98,Mature,"Acerpsuedoplatanus
"
"Hendon(A)
",St Mary's Church Finchley,12.5,45,Semi-Mature,"Pinusnigra
"
"Hendon(A)
",St Mary's Church Finchley,8,87,Mature,"Acerplatanoides
"
"Hendon(A)
",St Mary's Church Finchley,7.5,26,Semi-Mature,"Ilexaquifolium
"
"Hendon(A)
",St Mary's Church Finchley,7.5,26,Semi-Mature,"Ilexaquifolium
"
"Hendon(A)
",St Mary's Church Finchley,7.5,20,Semi-Mature,"Ilexaquifolium
"
"Hendon(A)
",St Mary's Church Finchley,17.5,26,Mature,"Taxusbaccata
"
"Hendon(A)
",St Mary's Church Finchley,12.5,70,Mature,"Tiliasp.
"
"Hendon(A)
",St Mary's Church Finchley,7.5,45,Mature,"Tiliasp.
"
"Hendon(A)
",St Mary's Church Finchley,7.5,20,Early Mature,"Acerpsuedoplatanus
"
"Hendon(A)
",St Mary's Church Finchley,7,68,Semi-Mature,"Acerpsuedoplatanus
"
"Hendon(A)
",St Mary's Church Finchley,7,50,Semi-Mature,"Acerpsuedoplatanus
"
"Hendon(A)
",St Mary The Virgin,16,118,Mature,"Aesculushippocastanum
"
"Hendon(A)
",St John The Baptist's,7.5,85,Mature,"Acerpsuedoplatanus
"
"Hendon(A)
",St John The Baptist's,3,45,Mature,"Ilexaquifolium
"
"Hendon(A)
",St John The Baptist's,7.5,70,Mature,"Acerpsuedoplatanus
"
"Hendon(A)
",Christchurch Burial Ground,12.5,45,Mature,"Quercusrobur
"
"Hendon(A)
",Christchurch Burial Ground,12.5,67,Mature,"Fraxinusexcelsior
"
"Hendon(A)
",Christchurch Burial Ground,12.5,67,Mature,"Aesculushippocastanum
"
"Hendon(A)
",Christchurch Burial Ground,7.5,45,Mature,"Acerpsuedoplatanus
"
"Hendon(A)
",Christchurch Burial Ground,3,55,Mature,"Acerpsuedoplatanus
"
"Hendon(A)
",Christchurch Burial Ground,7.5,87,Mature,"AesculushippocastanumDigitata
"
"Hendon(A)
",Christchurch Burial Ground,5.5,59,Mature,"AesculushippocastanumDigitata
"
"Hendon(A)
",Christchurch Burial Ground,7.5,45,Mature,"Acerpsuedoplatanus
"
"Hendon(A)
",Christchurch Burial Ground,7.5,45,Semi-Mature,"Quercusrobur
"
"Hendon(A)
",St John The Baptist's,7.5,55,Mature,"Tiliaplatyphyllos
"
"Hendon(A)
",St John The Baptist's,7.5,55,Mature,"Tiliaplatyphyllos
"
"Hendon(A)
",St John The Baptist's,3,35,Mature,"Ilexaquifolium
"
"Hendon(A)
",St John The Baptist's,7.5,45,Mature,"FagussylvaticaAtropurpurea
"
"Hendon(A)
",St John The Baptist's,3,35,Semi-Mature,"Ilexaquifolium
"
"Hendon(A)
",St John The Baptist's,3,7,Early Mature,"AmelanchierarboreaRobinHill
"
"Hendon(A)
",St John The Baptist's,3,55,Mature,"Tiliaplatyphyllos
"
"Hendon(A)
",St John The Baptist's,7.5,85,Mature,"FagussylvaticaAtropurpurea
"
"Hendon(A)
",St John The Baptist's,7.5,55,Mature,"Tiliaplatyphyllos
"
"Hendon(A)
",Christchurch Burial Ground,5.5,59,Mature,"AesculushippocastanumDigitata
"
"Hendon(A)
",Christchurch Burial Ground,5.5,35,Mature,"Tiliaxeuropea
"
"Hendon(A)
",Christchurch Burial Ground,10.5,80,Mature,"Tiliaxeuropea
"
"Hendon(A)
",Christchurch Burial Ground,10.5,80,Mature,"Acerpsuedoplatanus
"
"Hendon(A)
",Christchurch Burial Ground,10.5,92,Over-Mature,"Tiliaxeuropea
"
"Hendon(A)
",Christchurch Burial Ground,10.5,80,Mature,"Aesculushippocastanum
"
"Hendon(A)
",Hendon Cemetery,7,42,Mature,"Acerplatanoides
"
"Hendon(A)
",Hendon Cemetery,12,91,,"Acerpsuedoplatanus
"
"Hendon(A)
",Hendon Cemetery,15,100,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,12,75,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,7,118,,"PopulusnigraItalica
"
"Hendon(A)
",Hendon Cemetery,10,64,,"Quercusrobur
"
"Hendon(A)
",Hendon Cemetery,14,106,,"Quercusrobur
"
"Hendon(A)
",Hendon Cemetery,12,105,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,12,97,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,12,100,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,12,114,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,12,103,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,12,119,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,12,100,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,8,64,,"PopulusnigraItalica
"
"Hendon(A)
",Hendon Cemetery,8,100,,"PopulusnigraItalica
"
"Hendon(A)
",Hendon Cemetery,8,70,,"Populusalba
"
"Hendon(A)
",Hendon Cemetery,8,100,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,12,110,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,8,100,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,8,60,,"Acercampestre
"
"Hendon(A)
",Hendon Cemetery,10,100,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,10,100,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,10,115,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,10,105,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,10,90,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,10,90,,"PopulusnigraItalica
"
"Hendon(A)
",Hendon Cemetery,8,58,,"Acerpsuedoplatanus
"
"Hendon(A)
",Hendon Cemetery,8,58,,"Acerpsuedoplatanus
"
"Hendon(A)
",Hendon Cemetery,15,135,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,10,140,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,10,120,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,10,120,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,10,120,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,10,120,,"Populusalba
"
"Hendon(A)
",Hendon Cemetery,10,87,,"PopulusnigraItalica
"
"Hendon(A)
",Hendon Cemetery,10,87,,"PopulusnigraItalica
"
"Hendon(A)
",Hendon Cemetery,6,67,,"Cupressusmacrocarpa
"
"Hendon(A)
",Hendon Cemetery,10,87,,"PopulusnigraItalica
"
"Hendon(A)
",Hendon Cemetery,10,96,,"PopulusnigraItalica
"
"Hendon(A)
",Hendon Cemetery,6,48,,"Aesculusxcarnea
"
"Hendon(A)
",Hendon Cemetery,12,90,,"Aesculushippocastanum
"
"Hendon(A)
",Hendon Cemetery,10,67,,"Aesculusxcarnea
"
"Hendon(A)
",Hendon Cemetery,10,115,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,10,115,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,10,100,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,10,120,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,10,90,,"PopulusnigraItalica
"
"Hendon(A)
",Hendon Cemetery,10,59,,"Aesculusxcarnea
"
"Hendon(A)
",Hendon Cemetery,7,40,,"Aesculusxcarnea
"
"Hendon(A)
",Hendon Cemetery,9,51,,"Aesculusxcarnea
"
"Hendon(A)
",Hendon Cemetery,7,46,,"Acerplatanoides
"
"Hendon(A)
",Hendon Cemetery,13,86,,"Aesculushippocastanum
"
"Hendon(A)
",Hendon Cemetery,6,25,,"Acerpsuedoplatanus
"
"Hendon(A)
",Hendon Cemetery,11,40,,"Fraxinusexcelsior
"
"Hendon(A)
",Hendon Cemetery,14,110,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,14,120,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,14,120,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,14,100,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,4,31,,"Acerpsuedoplatanus
"
"Hendon(A)
",Hendon Cemetery,7,40,,"Acerpsuedoplatanus
"
"Hendon(A)
",Hendon Cemetery,7,95,,"PopulusnigraItalica
"
"Hendon(A)
",Hendon Cemetery,7,115,,"PopulusnigraItalica
"
"Hendon(A)
",Hendon Cemetery,7,100,,"PopulusnigraItalica
"
"Hendon(A)
",Hendon Cemetery,10,76,,"Aesculushippocastanum
"
"Hendon(A)
",Hendon Cemetery,7,36,,"Acerpsuedoplatanus
"
"Hendon(A)
",Hendon Cemetery,7,43,,"Acerplatanoides
"
"Hendon(A)
",Hendon Cemetery,7,43,,"Acerpsuedoplatanus
"
"Hendon(A)
",Hendon Cemetery,15,130,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,25,138,,"Salixsp.
"
"Hendon(A)
",Hendon Cemetery,7,60,,"Quercusrubra
"
"Hendon(A)
",Hendon Cemetery,6,56,,"BetulautilisJacquemontii
"
"Hendon(A)
",Hendon Cemetery,14,130,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,6,71,,"Carpinusbetulus
"
"Hendon(A)
",Hendon Cemetery,6,55,,"Carpinusbetulus
"
"Hendon(A)
",Hendon Cemetery,6,51,,"Carpinusbetulus
"
"Hendon(A)
",Hendon Cemetery,6,63,,"Carpinusbetulus
"
"Hendon(A)
",Hendon Cemetery,8,80,,"Carpinusbetulus
"
"Hendon(A)
",Hendon Cemetery,10,90,,"Aesculushippocastanum
"
"Hendon(A)
",Hendon Cemetery,10,108,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,10,105,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,10,87,,"Populusspecies
"
"Hendon(A)
",Hendon Cemetery,14,114,,"Quercusrobur
"
"Hendon(A)
",Hendon Cemetery,14,80,,"Quercusrobur
"
"Hendon(A)
",Hendon Cemetery,14,98,,"Quercusrobur
"
"Hendon(A)
",Hendon Cemetery,8,98,,"Populusalba
"
"Hendon(A)
",St James Churchyard,30,105,Over-Mature,"Quercusrobur
"
"Hendon(A)
",St James Churchyard,6,40,Semi-Mature,"Ilexaquifolium
"
"Hendon(A)
",St James Churchyard,16,67,Mature,"Quercusrubra
"
"Hendon(A)
",St Andrew's Churchyard,8.5,200,Over-Mature,"Taxusbaccata
"
"Hendon(A)
",St Andrew's Churchyard,11,78,Mature,"Aesculushippocastanum
"
"Hendon(A)
",St Andrew's Churchyard,9,78,Mature,"Aesculushippocastanum
"
"Hendon(A)
",St Andrew's Churchyard,8,70,Semi-Mature,"Thuyaplicata
"
"Hendon(A)
",St Andrew's Churchyard,8.5,82,Over-Mature,"Acerpsuedoplatanus
"
"Hendon(A)
",St Stephens Churchyard,12,80,Mature,"Tiliaxeuropea
"
"Hendon(A)
",St Stephens Churchyard,12,80,Mature,"Aesculushippocastanum
"
"Hendon(A)
",St Stephens Churchyard,12,75,Mature,"Tiliaxeuropea
"
"Hendon(A)
",Ashmole School,7.5,70,Mature,"Quercussp.
"
"Hendon(A)
",Ashmole School,7.5,85,Mature,"Quercussp.
"
"Hendon(A)
",Ashmole School,7.5,85,Mature,"Quercussp.
"
"Hendon(A)
",Ashmole School,3,70,Mature,"Quercussp.
"
"Hendon(A)
",Ashmole School,3,45,Mature,"Quercussp.
"
"Hendon(A)
",Ashmole School,3,55,Mature,"Quercussp.
"
"Hendon(A)
",Ashmole School,3,55,Mature,"Quercussp.
"
"Hendon(A)
",Ashmole School,3,55,Mature,"Quercussp.
"
"Hendon(A)
",Ashmole School,3,45,Mature,"Quercussp.
"
"Hendon(A)
",Ashmole School,3,1,,"OtherBroadleaf
"
"Hendon(A)
",Ashmole School,3,55,Mature,"Quercussp.
"
"Hendon(A)
",Ashmole School,3,55,Mature,"Quercussp.
"
"Hendon(A)
",Ashmole School,7.5,55,Mature,"Quercussp.
"
"Hendon(A)
",Ashmole School,7.5,70,Mature,"Quercussp.
"
"Hendon(A)
",Ashmole School,7.5,70,Mature,"Quercussp.
"
"Hendon(A)
",Ashmole School,3,70,Mature,"Quercussp.
"
"Hendon(A)
",Ashmole School,3,45,Mature,"Quercussp.
"
"Hendon(A)
",Ashmole School,3,70,Mature,"Quercussp.
"
"Hendon(A)
",Ashmole School,12.5,70,Mature,"Quercussp.
"
"Hendon(A)
",Ashmole School,3,85,Mature,"Quercussp.
"
"Hendon(A)
",Ashmole School,3,45,Semi-Mature,"Quercussp.
"
